Date	Time	Barcode	Cycle	Info	
9/14/2017	12:27:04.315	CB1C1ANXX	32	Start chemistry	
9/14/2017	12:31:22.578	CB1C1ANXX	32	End chemistry	
9/14/2017	12:44:02.568	CB1C1ANXX	32	Start Imaging	
9/14/2017	13:00:04.944	CB1C1ANXX	32	End Imaging	
9/14/2017	13:00:07.271	CB1C1ANXX	33	Start chemistry	
9/14/2017	13:04:24.448	CB1C1ANXX	33	End chemistry	
9/14/2017	13:17:19.118	CB1C1ANXX	33	Start Imaging	
9/14/2017	13:32:56.133	CB1C1ANXX	33	End Imaging	
9/14/2017	13:32:58.266	CB1C1ANXX	34	Start chemistry	
9/14/2017	13:37:15.159	CB1C1ANXX	34	End chemistry	
9/14/2017	13:50:20.346	CB1C1ANXX	34	Start Imaging	
9/14/2017	14:06:11.992	CB1C1ANXX	34	End Imaging	
9/14/2017	14:06:13.411	CB1C1ANXX	35	Start chemistry	
9/14/2017	14:10:30.333	CB1C1ANXX	35	End chemistry	
9/14/2017	14:23:37.670	CB1C1ANXX	35	Start Imaging	
9/14/2017	14:38:52.510	CB1C1ANXX	35	End Imaging	
9/14/2017	14:38:54.315	CB1C1ANXX	36	Start chemistry	
9/14/2017	14:43:14.449	CB1C1ANXX	36	End chemistry	
9/14/2017	14:56:38.892	CB1C1ANXX	36	Start Imaging	
9/14/2017	15:11:48.036	CB1C1ANXX	36	End Imaging	
9/14/2017	15:11:49.840	CB1C1ANXX	37	Start chemistry	
9/14/2017	15:16:07.973	CB1C1ANXX	37	End chemistry	
9/14/2017	15:30:42.316	CB1C1ANXX	37	Start Imaging	
9/14/2017	15:46:08.185	CB1C1ANXX	37	End Imaging	
9/14/2017	15:46:10.323	CB1C1ANXX	38	Start chemistry	
9/14/2017	15:50:31.599	CB1C1ANXX	38	End chemistry	
9/14/2017	16:02:58.792	CB1C1ANXX	38	Start Imaging	
9/14/2017	16:18:25.694	CB1C1ANXX	38	End Imaging	
9/14/2017	16:18:27.655	CB1C1ANXX	39	Start chemistry	
9/14/2017	16:22:44.164	CB1C1ANXX	39	End chemistry	
9/14/2017	16:35:11.663	CB1C1ANXX	39	Start Imaging	
9/14/2017	16:51:04.062	CB1C1ANXX	39	End Imaging	
9/14/2017	16:51:06.425	CB1C1ANXX	40	Start chemistry	
9/14/2017	16:55:24.942	CB1C1ANXX	40	End chemistry	
9/14/2017	17:07:36.728	CB1C1ANXX	40	Start Imaging	
9/14/2017	17:23:03.670	CB1C1ANXX	40	End Imaging	
9/14/2017	17:23:06.302	CB1C1ANXX	41	Start chemistry	
9/14/2017	17:27:23.769	CB1C1ANXX	41	End chemistry	
9/14/2017	17:40:31.088	CB1C1ANXX	41	Start Imaging	
9/14/2017	17:58:41.363	CB1C1ANXX	41	End Imaging	
9/14/2017	17:58:44.138	CB1C1ANXX	42	Start chemistry	
9/14/2017	18:03:02.035	CB1C1ANXX	42	End chemistry	
9/14/2017	18:16:09.645	CB1C1ANXX	42	Start Imaging	
9/14/2017	18:31:05.277	CB1C1ANXX	42	End Imaging	
9/14/2017	18:31:07.796	CB1C1ANXX	43	Start chemistry	
9/14/2017	18:35:24.659	CB1C1ANXX	43	End chemistry	
9/14/2017	18:47:26.514	CB1C1ANXX	43	Start Imaging	
9/14/2017	19:02:09.211	CB1C1ANXX	43	End Imaging	
9/14/2017	19:02:11.444	CB1C1ANXX	44	Start chemistry	
9/14/2017	19:06:30.528	CB1C1ANXX	44	End chemistry	
9/14/2017	19:18:35.827	CB1C1ANXX	44	Start Imaging	
9/14/2017	19:33:28.062	CB1C1ANXX	44	End Imaging	
9/14/2017	19:33:30.399	CB1C1ANXX	45	Start chemistry	
9/14/2017	19:37:47.585	CB1C1ANXX	45	End chemistry	
9/14/2017	19:49:39.769	CB1C1ANXX	45	Start Imaging	
9/14/2017	20:04:22.407	CB1C1ANXX	45	End Imaging	
